Op,FName,Index,GMS v12,,GMS v83,,GMS v87,,GMS v92,,GMS v95,,GMS v111,,JMS v185
SPECIAL_MOVE,"CUserLocal::DoActiveSkill_Heal
CUserLocal::TryDoingSwallowAbsorb
CGrenade::SendTimeBombInfo
CUserLocal::DoActiveSkill_OpenGate
CUserLocal::DoActiveSkill_TownPortal
CUserLocal::DoActiveSkill_Summon
CUserLocal::DoActiveSkill_SmokeShell
CUserLocal::DoActiveSkill_Flying
CUserLocal::DoActiveSkill_DamageMeter
CUserLocal::DoActiveSkill_MobCapture
CUserLocal::DoActiveSkill_StatChangeAdmin
CUserLocal::DoActiveSkill_RecoveryAura
CUserLocal::SendSkillUseRequest
CUserLocal::DoActiveSkill_SummonMonster
CUserLocal::TryDoingMonsterMagnet",47,0x02F,91,0x05B,94,0x05E,102,0x066,103,0x067,160,0x0A0,86,0x056
CANCEL_BUFF,CUserLocal::SendSkillCancelRequest,48,0x030,92,0x05C,95,0x05F,103,0x067,104,0x068,161,0x0A1,87,0x057
SKILL_EFFECT,CUserLocal::DoActiveSkill_Prepare,49,0x031,93,0x05D,96,0x060,104,0x068,105,0x069,162,0x0A2,88,0x058
MESO_DROP,CWvsContext::SendDropMoneyRequest,50,0x032,94,0x05E,97,0x061,105,0x069,106,0x06A,163,0x0A3,89,0x059
GIVE_FAME,CWvsContext::SendGivePopularityRequest,51,0x033,95,0x05F,98,0x062,106,0x06A,107,0x06B,164,0x0A4,90,0x05A
n/a,n/a,52,0x034,96,0x060,99,0x063,107,0x06B,108,0x06C,165,0x0A5,91,0x05B
CHAR_INFO_REQUEST,CWvsContext::SendCharacterInfoRequest,53,0x035,97,0x061,100,0x064,108,0x06C,109,0x06D,166,0x0A6,92,0x05C
SPAWN_PET,CWvsContext::SendActivatePetRequest,54,0x036,98,0x062,101,0x065,109,0x06D,110,0x06E,167,0x0A7,93,0x05D
,,,0x000,,0x000,,0x000,,0x000,,0x000,168,0x0A8,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,169,0x0A9,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,170,0x0AA,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,171,0x0AB,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,172,0x0AC,,0x000
,,,0x000,,0x000,,0x000,,0x000,,0x000,173,0x0AD,,0x000
CANCEL_DEBUFF,CWvsContext::CheckTemporaryStatDuration,55,0x037,99,0x063,102,0x066,110,0x06E,111,0x06F,174,0x0AE,94,0x05E
CHANGE_MAP_SPECIAL,"CUserLocal::HandleUpKeyDown
CUserLocal::CheckPortal_Collision",56,0x038,100,0x064,103,0x067,111,0x06F,112,0x070,175,0x0AF,95,0x05F
,,,0x000,,0x000,,0x000,,0x000,,0x000,176,0x0B0,,0x000
USE_INNER_PORTAL,CUserLocal::TryRegisterTeleport,,0x000,101,0x065,104,0x068,112,0x070,113,0x071,177,0x0B1,96,0x060
TROCK_ADD_MAP,CWvsContext::SendMapTransferRequest,57,0x039,102,0x066,105,0x069,113,0x071,114,0x072,178,0x0B2,97,0x061
